nconst,primaryName,birthYear,deathYear
nm0319994,Nancy Finger,\N,\N
nm0002485,William Preston Robertson,\N,\N
nm0000456,Holly Hunter,1958,\N
nm0001756,Barry Sonnenfeld,1953,\N
nm7214498,Halsey,1994,\N
nm7603745,Sasha Lane,1995,\N
nm4164856,Vuk Celebic,1988,\N
nm1340370,Brian Caspe,1975,\N
nm2615245,Petr Barvik,\N,\N
nm6263898,Michal Bednár,\N,\N
nm11908100,Jan Beránek,\N,\N
nm10903404,Jakub Cerný,\N,\N
nm10185775,Michaela Dinhová,\N,\N
nm8939085,Marian Furdek,\N,\N
nm11389999,Markéta Galuszková,1992,\N
nm5774880,Ondrej Houska,\N,\N
nm2698164,Jirí Hrubý,\N,\N
nm3059108,Igor Kristof,\N,\N
nm10173641,Tadeas Krofta,\N,\N
nm8161363,Daniel Malek,\N,\N
nm10837848,Lucas Mracek,\N,\N
nm3342542,Martin Povr,\N,\N
nm0000949,Cate Blanchett,1969,\N
nm0000285,Alec Baldwin,1958,\N
nm0765597,Peter Sarsgaard,1971,\N
nm1020089,Sally Hawkins,1976,\N
nm0137516,Joy Carlin,\N,\N
nm0176384,Richard Conti,1952,\N
nm1973610,Glen Caspillo,\N,\N
nm2253071,Charlie Tahan,1998,\N
nm2905454,Annie McNamara,\N,\N
nm3535849,Daniel Jenks,\N,\N
nm5228381,Max Rutherford,\N,\N
nm0001048,Andrew Dice Clay,1957,\N
nm0087109,Tammy Blanchard,1976,\N
nm0867240,Kathy Tong,1971,\N
nm0627224,Ted Neustadt,1954,\N
nm5809216,Andrew Long,\N,\N
nm6144249,Laurena Allan,\N,\N
nm0087373,John Harrington Bland,1968,\N
nm0297578,Patrick Fugit,1982,\N
nm0001823,Tom Waits,1949,\N
nm0004715,Will Arnett,1970,\N
nm0072344,Abraham Benrubi,1969,\N
nm0004753,Leslie Bibb,1973,\N
nm0095478,Mark Boone Junior,1955,\N
nm0100807,Cameron Bowen,1988,\N
nm0186728,Clayne Crawford,1978,\N
nm0255175,Chase Ellison,1993,\N
nm0299864,Adam Gifford,\N,\N
nm0322325,Mary Pat Gleason,1950,2020
nm0370035,John Hawkes,1959,\N
nm1058798,Mikal P. Lazarev,\N,\N
nm1675319,Aaron Parker Mouser,\N,\N
nm0644406,Nick Offerman,1970,\N
nm0722124,Anatol Rezmeritza,\N,\N
nm2105255,Sarah Roemer,1984,\N
nm0232998,Jeffrey Donovan,1968,\N
nm0267812,Vera Farmiga,1973,\N
nm0340260,Zach Grenier,1954,\N
nm0548498,Brian Markinson,1961,\N
nm0243806,Kevin Durand,1974,\N
nm1581720,Sydney Tewson,\N,\N
nm1581719,Larissa Tewson,\N,\N
nm0425627,Leila Johnson,\N,\N
nm0177896,Bradley Cooper,1975,\N
nm0898546,Pruitt Taylor Vince,1960,\N
nm0935057,Peter Wingfield,1962,\N
nm0714992,Christopher Redman,1980,\N
nm0548226,D. Neil Mark,\N,\N
nm0462735,Frederick Koehler,1975,\N
nm2517179,Aidan Jarrar,\N,\N
nm0814552,Veena Sood,\N,\N
nm0863722,Tiffani Timms,1977,\N
nm1579597,Devon Weigel,1983,\N
nm3305952,Volodymyr Zelenskyy,1978,\N
nm4915252,Evgeniy Koshevoy,\N,\N
nm0049182,Stanislav Boklan,1960,\N
nm9001131,Olha Zhukovtsova-Kyiashko,1984,\N
nm3369797,Georgiy Povolotskiy,\N,\N
nm0331412,Vladimir Goryanskiy,\N,\N
nm1694117,Dmitriy Lalenkov,1966,\N
nm0337366,Yuriy Grebelnik,1962,\N
nm1579108,Sergey Kalantay,1964,\N
nm2594453,Andrey Danilko,1973,\N
nm2602858,Inna Belokon,\N,\N
nm6937256,Yuriy Gorbunov,\N,\N
nm9576660,Stepan Kazanin,\N,\N
nm8421989,Miko Fatalov,\N,\N
nm7857295,Anastasiya Chepelyuk,1991,\N
nm4287290,Vitaliy Ivanchenko,1978,\N
nm9228243,Zhanna Bogdevich,\N,\N
nm5848356,Aleksey Smolka,1975,\N
nm2050746,Emma Catherine Rigby,1989,\N
nm2907513,Rachel Allinson,\N,\N
nm0051394,David Bamber,1954,\N
nm1599762,Louise Bangay,\N,\N
nm10550152,Iris Bjork,\N,\N
nm7112454,Jasmine Blackborow,\N,\N
nm8383131,Lee Byford,\N,\N
nm10550154,Molly Carter,\N,\N
nm10550151,Rosie Cooper,\N,\N
nm6297345,Sara Escriva,\N,\N
nm10550153,Jacey Ethalion,\N,\N
nm1441641,Belle Mary Hithersay,\N,\N
nm1087484,Daniella Isaacs,\N,\N
nm2846393,Diarmaid Murtagh,\N,\N
nm2286927,Michael Peluso,1983,\N
nm2982565,Angela Peters,\N,\N
